cfg_id,day,ok,aco_pnl,total_pnl,cfg_json,make_offset,min_take_edge,maker_mode,make_portion,soft_cap,skew_strength,ema_alpha
13,0,True,18079.0,18079.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",1,1,join,0.8,60,0,0.25
14,-2,True,17262.0,17262.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",1,2,join,0.8,60,0,0.25
15,-2,True,16640.0,16640.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",1,3,join,0.8,60,0,0.25
14,-1,True,18756.0,18756.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",1,2,join,0.8,60,0,0.25
14,0,True,17675.0,17675.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",1,2,join,0.8,60,0,0.25
15,0,True,16746.0,16746.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",1,3,join,0.8,60,0,0.25
15,-1,True,17781.0,17781.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",1,3,join,0.8,60,0,0.25
16,-2,True,15242.0,15242.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",2,0,join,0.8,60,0,0.25
16,-1,True,16928.0,16928.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",2,0,join,0.8,60,0,0.25
16,0,True,15783.0,15783.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",2,0,join,0.8,60,0,0.25
